attemptdate,attemptresult,userid,type,defsite,groupname,maxsessionuid
3/1/2020 0:01,SYSLOGOUT,HBA1626,EXPRESS,TX,MAINTENANCE TECHNICIAN,873258
3/1/2020 1:01,SYSLOGOUT,HBA2101,LIMITED,LA,MAINTENANCE TECHNICIAN,873665
3/1/2020 1:02,SYSLOGOUT,HBA1716,AUTHORIZED,TX,STOREROOM CLERK,873787
3/1/2020 1:02,SYSLOGOUT,HBA1694,LIMITED,LA,MAINTENANCE TECHNICIAN,873366
3/1/2020 1:11,LOGIN,HBA1645,LIMITED,LA,QUICK REPORTING USER,873260
3/1/2020 1:41,TIMEOUT,HBA1645,LIMITED,LA,QUICK REPORTING USER,873260
3/1/2020 2:11,LOGIN,HBA1771,AUTHORIZED,TX,STOREROOM CLERK,873490
3/1/2020 2:23,LOGIN,HBA1743,LIMITED,TX,MAINTENANCE TECHNICIAN,873893
3/1/2020 2:42,TIMEOUT,HBA1771,AUTHORIZED,TX,STOREROOM CLERK,873490
3/1/2020 2:57,TIMEOUT,HBA1743,LIMITED,TX,MAINTENANCE TECHNICIAN,873893
3/1/2020 3:11,LOGIN,HBA1694,LIMITED,LA,MAINTENANCE TECHNICIAN,873902
3/1/2020 3:12,LOGIN,HBA1821,LIMITED,LA,MAINTENANCE TECHNICIAN,873903
3/1/2020 3:17,LOGOUT,HBA1821,LIMITED,LA,MAINTENANCE TECHNICIAN,873903
3/1/2020 3:28,LOGOUT,HBA1694,LIMITED,LA,MAINTENANCE TECHNICIAN,873902
3/1/2020 3:30,LOGIN,HBA1771,AUTHORIZED,TX,STOREROOM CLERK,874002
3/1/2020 3:47,LOGIN,HBA1822,AUTHORIZED,LA,STOREROOM CLERK,874202
3/1/2020 4:11,TIMEOUT,HBA1771,AUTHORIZED,TX,STOREROOM CLERK,874002
3/1/2020 4:24,TIMEOUT,HBA1822,AUTHORIZED,LA,STOREROOM CLERK,874202
3/1/2020 4:30,LOGIN,HBA1807,LIMITED,TX,MAINTENANCE TECHNICIAN,874302
3/1/2020 4:51,LOGIN,HBA1677,LIMITED,LA,QUICK REPORTING USER,874402
3/1/2020 5:06,TIMEOUT,HBA1807,LIMITED,TX,MAINTENANCE TECHNICIAN,874302
3/1/2020 5:18,LOGIN,HBA2005,LIMITED,TX,MAINTENANCE TECHNICIAN,874103
3/1/2020 5:36,LOGIN,HBA1658,AUTHORIZED,LA,IT ANALYST,873905
